0.01,1.86763e-06,-0.00380495
0.0206914,9.01649e-07,-0.00183882
0.0428133,4.33772e-07,-0.000888515
0.0885867,2.05587e-07,-0.00042905
0.183298,9.14849e-08,-0.000206607
0.379269,1.6678e-09,-9.8319e-05
0.78476,7.47866e-10,-4.44954e-05
1.62378,2.78627e-10,-1.63812e-05
3.35982,5.24035e-11,-2.8154e-06
6.95193,1.96334e-12,-5.35348e-08
14.3845,1.68985e-13,-8.21833e-12
29.7635,4.02264e-14,-2.34636e-13
61.5848,1.17754e-14,-5.73408e-14
127.427,5.20416e-15,-1.61997e-14
263.665,3.67352e-15,-6.60238e-15
545.559,3.3158e-15,-4.36709e-15
1128.84,3.23217e-15,-3.84733e-15
2335.72,3.21261e-15,-3.72696e-15
4832.93,3.20802e-15,-3.6993e-15
10000,3.20694e-15,-3.69304e-15
