1e-08,-3805.01,1.86824
7.74264e-08,-491.436,0.241292
5.99484e-07,-63.4713,0.0311641
4.64159e-06,-8.19764,0.004025
3.59381e-05,-1.05877,0.000519849
0.000278256,-0.136745,6.7141e-05
0.00215443,-0.0176613,8.67147e-06
0.016681,-0.00228095,1.11897e-06
0.129155,-0.000293918,1.37048e-07
1,-3.31208e-05,5.56647e-10
1.62378,-1.63812e-05,2.78627e-10
3.35982,-2.8154e-06,5.24035e-11
6.95193,-5.35348e-08,1.96334e-12
14.3845,-8.21833e-12,1.68985e-13
29.7635,-2.34636e-13,4.02264e-14
61.5848,-5.73408e-14,1.17754e-14
127.427,-1.61997e-14,5.20416e-15
263.665,-6.60238e-15,3.67352e-15
545.559,-4.36709e-15,3.3158e-15
1128.84,-3.84733e-15,3.23217e-15
2335.72,-3.72696e-15,3.21261e-15
4832.93,-3.6993e-15,3.20802e-15
10000,-3.69304e-15,3.20694e-15
