1e-07,-1.42918e-20
1.26486e-07,-1.8077e-20
1.59986e-07,-2.28647e-20
2.02359e-07,-2.89205e-20
2.55955e-07,-3.65801e-20
3.23746e-07,-4.62683e-20
4.09492e-07,-5.85223e-20
5.17947e-07,-7.40218e-20
6.55129e-07,-9.36259e-20
8.28643e-07,-1.18422e-19
1.04811e-06,-1.49784e-19
1.32571e-06,-1.89452e-19
1.67683e-06,-2.39624e-19
2.12095e-06,-3.03081e-19
2.6827e-06,-3.8334e-19
3.39322e-06,-4.84849e-19
4.29193e-06,-6.1323e-19
5.42868e-06,-7.75597e-19
6.86649e-06,-9.8094e-19
8.68511e-06,-1.24063e-18
1.09854e-05,-1.56905e-18
1.3895e-05,-1.98438e-18
1.75751e-05,-2.50962e-18
2.223e-05,-3.17392e-18
2.81177e-05,-4.0142e-18
3.55648e-05,-5.07733e-18
4.49843e-05,-6.42309e-18
5.68987e-05,-8.12805e-18
7.19686e-05,-1.02912e-17
9.10298e-05,-1.30424e-17
0.00011514,-1.65556e-17
0.000145635,-2.10708e-17
0.000184207,-2.69337e-17
0.000232995,-3.46677e-17
0.000294705,-4.51117e-17
0.000372759,-5.96898e-17
0.000471487,-8.09449e-17
0.000596362,-1.13609e-16
0.000754312,-1.66763e-16
0.000954095,-2.58236e-16
0.00120679,-4.23604e-16
0.00152642,-7.34811e-16
0.0019307,-1.33888e-15
0.00244205,-2.54322e-15
0.00308884,-4.8587e-13
0.00390694,-2.46504e-11
0.00494171,-5.56217e-10
0.00625055,-6.53935e-09
0.00790604,-4.60977e-08
0.01,-2.19511e-07
